id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21458043,Luxury 2 bedroom with garage parking space Allston,32712428,Douglas,,Allston,42.355448944857294,-71.1364065339662,Entire home/apt,95,1,3,2018-04-16,2.20,2,3
21459302,Grand Studio in Downtown Crossing by Sonder,12243051,Sonder,,Chinatown,42.35138597534456,-71.06219436708149,Entire home/apt,99,2,7,2018-05-02,1.27,291,132
21459629,"H5-6, 2 Private Rm, 2 min to T, 17 min to Downtown",30525952,Yueyang,,Dorchester,42.28159870789732,-71.06622870580236,Private room,180,1,1,2018-04-23,1,12,311
21460989,Charming Spacious 1BR in Back Bay Marlborough St,15189962,Zeki,,Back Bay,42.35141441119273,-71.08033521589577,Entire home/apt,195,2,5,2018-04-23,0.75,1,79
21463290,Beautiful and cozy one-bed apartment in Fenway!,144101466,Marina,,Fenway,42.342528951049644,-71.08715166816896,Entire home/apt,100,6,2,2018-04-16,1.00,1,8
21470225,Modernly Plush Studio in The heart of Boston!! WOW,30283594,Kara,,Jamaica Plain,42.32879072393743,-71.11129006898328,Entire home/apt,128,3,0,,,219,136
21472825,Luxury Unit In Heart of South Boston,148100211,Barry,,South Boston,42.341236475684674,-71.05699903843497,Entire home/apt,150,7,0,,,1,65
21473721,"(211-31) Sun-filled, Fenway Apartment!",21184200,Paige,,Fenway,42.34199886339019,-71.1012534580567,Entire home/apt,99,1,19,2018-04-18,2.97,40,77
21477647,"Great Location,near T,Zip car pick up & Blue Hills",152514670,Kianna,,Mattapan,42.271573576846954,-71.08553779445475,Entire home/apt,49,2,21,2018-05-06,3.17,1,130
21483155,Bi-Level 2BR in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.35108428808473,-71.06322534547051,Entire home/apt,129,2,4,2018-04-29,0.61,291,161
21484031,Classic 2BR in Downtown Crossing by Sonder,12243051,Sonder,,Chinatown,42.35131312174578,-71.06156953714442,Entire home/apt,129,2,3,2018-04-24,2.37,291,153
21484100,Playful 3BR in Brighton by Sonder,12243051,Sonder,,Brighton,42.33964904005426,-71.15703476208311,Entire home/apt,109,2,5,2018-04-23,1.08,291,158
21484706,LARGE bedroom 2 blocks from Train and free parking,156053359,Ken,,Dorchester,42.29110981564933,-71.06522898026445,Private room,65,1,11,2018-05-14,1.71,4,329
21486679,"Stylish Studio in the Back Bay, on Newbury St, .#9",22348222,Alicia,,Back Bay,42.34938541130292,-71.08193157585231,Entire home/apt,200,3,7,2018-04-27,1.91,55,247
21486812,Chic 1BR in Theater District by Sonder,12243051,Sonder,,Downtown,42.35186024143483,-71.06554855435739,Entire home/apt,699,2,1,2018-04-26,1,291,119
21487043,Central Studio in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.356032695091756,-71.05806954790872,Entire home/apt,699,2,0,,,291,111
21490776,Sunny 2 bedroom apartment at Beacon Hill,45840601,Raul,,Beacon Hill,42.359457512030744,-71.06598393302562,Entire home/apt,125,2,0,,,1,0
21498860,102 Chandler Street Apartment 9,82529160,Mario,,South End,42.346649039080795,-71.07402892357231,Entire home/apt,145,2,7,2018-04-30,1.69,35,286
21498861,102 Chandler Street Apartment 5,82529160,Mario,,South End,42.345885857993906,-71.073035493418,Entire home/apt,187,2,8,2018-05-02,1.59,35,192
21498863,102 Chandler Street Apartment 7,82529160,Mario,,South End,42.346748706693305,-71.07391174306696,Entire home/apt,145,2,13,2018-04-28,2.31,35,191
21498966,102 Chandler Street Apartment 6,82529160,Mario,,South End,42.34720426496606,-71.07233939503556,Entire home/apt,195,2,5,2018-04-30,1.09,35,170
21498969,102 Chandler Street Apartment 8,82529160,Mario,,South End,42.34525448477116,-71.07294442009027,Entire home/apt,149,2,2,2018-04-28,1.36,35,114
21498971,102 Chandler Street Apartment 4,82529160,Mario,,South End,42.34639703861841,-71.07425031137412,Entire home/apt,149,2,3,2018-03-04,0.57,35,154
21502692,One Bedroom North End Downtown Boston,1118374,Matthew,,North End,42.365002729137956,-71.05587578626466,Entire home/apt,256,1,51,2018-05-06,7.61,21,350
21505991,Comfortable private room/Fast booking and checkin!,47338156,Rosy,,Allston,42.35427998887196,-71.12826814484559,Private room,55,7,2,2017-11-05,0.30,1,0
21513775,Spacious North End Apt,49263224,Anna,,North End,42.361314537113,-71.05254437283385,Private room,100,2,3,2017-11-05,0.45,1,0
21514350,Elegant 1-BR in Boston with 24-hr gym and Pool!!,30283594,Kara,,Fenway,42.344795562611296,-71.09758300030737,Entire home/apt,135,25,1,2018-01-17,0.25,219,365
21514830,Center of Fenway Beautiful Entire 1Br Apt,147913585,Onder,,Fenway,42.343765382409316,-71.0982695907926,Entire home/apt,126,1,55,2018-05-12,8.42,1,199
21515803,Whimsical Condo by Boston's Back Bay!,4962900,Stay Alfred,,Back Bay,42.34609539093488,-71.07937455459276,Entire home/apt,429,1,1,2018-04-30,1,49,265
21515982,"Lovely, light filled Boston retreat!",25103598,Elizabeth,,West Roxbury,42.28715086887665,-71.16811337853767,Private room,100,1,0,,,1,106
21518134,Luxury Studio in a Great Location,43259847,Arwa,,Downtown,42.362596954962484,-71.06330460250146,Entire home/apt,249,5,2,2018-03-30,1.03,2,5
21519079,Boston-Bringham Circle and Long-Wood Medical R-2,154907516,Shedly,,Mission Hill,42.332241750925974,-71.10209999935051,Private room,70,1,7,2018-04-27,1.17,2,338
21521651,"Modern studio w/ shared gym & game room - walk to Harvard sports, Charles River!",112450390,Vacasa Massachusetts,,Allston,42.363131059223804,-71.13084961940578,Entire home/apt,89,1,5,2018-04-27,1.58,1,304
21524811,Posh 1BR in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.35160689933933,-71.0631985869068,Entire home/apt,99,2,2,2017-12-18,0.34,291,132
21526116,Unique Loft in Boston Downtown/Seaport District,99728847,Naoual,,South Boston Waterfront,42.34894559806186,-71.04778041163141,Entire home/apt,150,1,36,2018-05-03,5.37,4,6
21526646,Couch in Boston for GIRLS ONLY,43259847,Arwa,,Downtown,42.361899937912746,-71.06343841157664,Shared room,50,1,6,2018-04-05,0.92,2,0
21527161,102 Chandler Street Apartment 2,82529160,Mario,,South End,42.345439946124756,-71.07284434916897,Entire home/apt,145,2,7,2018-04-30,1.52,35,87
21528608,Slice of Boston,153648549,Eastcoast,,Chinatown,42.35122173080716,-71.05944471844667,Entire home/apt,119,2,7,2018-05-06,1.26,1,122
21530359,"Cozy Private Room, steps to gorgeous Jamaica Pond!",4389812,Megan,,Jamaica Plain,42.31627882390858,-71.11403008618561,Private room,48,1,7,2018-05-07,2.50,1,74
21536088,Super Convenient BLUE room in 2BR  Renovated!!,226220,Sevil,,Brighton,42.3565579717196,-71.16466290876248,Private room,89,2,0,,,3,161
21536254,Stunning 2 Bedroom Penthouse Historic Charlestown,28185704,Joshua,,Charlestown,42.37780046781738,-71.06445751896038,Entire home/apt,298,2,1,2017-11-12,0.16,2,8
21544687,City Side - South Boston,156628829,Paulette,,South Boston Waterfront,42.3385677491673,-71.04414384635545,Entire home/apt,600,4,2,2018-04-08,0.92,1,351
21546411,Bright 3BR in Brighton by Sonder,12243051,Sonder,,Brighton,42.34068371054728,-71.15657626266805,Entire home/apt,49,2,2,2018-04-08,0.36,291,160
21546827,Chic 3BR in Brighton by Sonder,12243051,Sonder,,Brighton,42.3411135226156,-71.15687745647314,Entire home/apt,699,2,1,2017-12-19,0.20,291,160
21547645,Classic 3BR in Brighton by Sonder,12243051,Sonder,,Brighton,42.34034707290158,-71.15793760992543,Entire home/apt,699,2,5,2018-04-01,0.77,291,161
21547937,♥ of Back Bay | Walk Everywhere (Private Bed/Bath),1186415,Robert,,Back Bay,42.34971967883291,-71.07312872042526,Private room,150,1,3,2018-05-11,3,1,325
21548228,Sleek 2BR in Downtown Crossing by Sonder,12243051,Sonder,,Downtown,42.35191672426439,-71.06298497416955,Entire home/apt,109,2,6,2018-04-29,0.93,291,156
21548729,Cosy Private Room in University Area,28682229,Malte,,Mission Hill,42.33113278181264,-71.09641000870157,Private room,40,20,1,2017-11-21,0.17,1,104
21548957,"QUIET SUNNY 1BR LOCATION, CHARM and CONVENIENCE",13918140,Mary,,South End,42.34241968340378,-71.08141172698717,Entire home/apt,151,1,56,2018-05-14,8.70,2,113
21550485,"Large studio space, private entrance and walk to T",21890476,Jason,,Dorchester,42.317936636685,-71.05689354820588,Entire home/apt,100,2,20,2018-05-11,3.21,1,77
21551519,Sea Green Room!,124799156,Maureen,,Roslindale,42.27568207562823,-71.11985007499986,Private room,49,2,6,2018-04-29,1.02,5,281
21552573,Private Room Near Fenway w/ Laundry & Kitchen - 2,5320714,K,,Mission Hill,42.332603524140474,-71.10085572630517,Private room,45,2,18,2018-05-02,2.76,5,53
21554511,3bdrm next to Airport and Downtown!,156730180,Oslo,,East Boston,42.38148827483764,-71.01901626088896,Entire home/apt,139,1,59,2018-05-13,9.08,3,148
21559343,2 bed apartment near Airport and Downtown.,156769006,Donal,,East Boston,42.38366602981135,-71.01557164177979,Entire home/apt,140,1,12,2018-05-14,2.07,1,49
21562776,Wondrous Back Bay Condo!,4962900,Stay Alfred,,Back Bay,42.34611068536799,-71.08020306851625,Entire home/apt,429,2,6,2018-04-22,1.86,49,318
21563175,Spectacular Boston Condo!,4962900,Stay Alfred,,Back Bay,42.34652895166271,-71.07792517313825,Entire home/apt,429,2,0,,,49,245
21563331,HUGE Beacon Hill studio with lots of CHARM!!!,22110106,Chris,,Beacon Hill,42.35892348189176,-71.06646737468922,Entire home/apt,180,1,46,2018-05-13,7.11,9,41
21563897,Private Room Private Bath Near Fenway Longwood - 3,5320714,K,,Mission Hill,42.33226707091578,-71.0989872254598,Private room,46,1,21,2018-04-29,3.23,5,56
21565906,"Private Room Near Roxbury Crossing, Green Line - 1",5320714,K,,Mission Hill,42.33201571992005,-71.10074588285451,Private room,45,1,13,2018-05-02,2.00,5,36
21566074,Private Room Near Orange and Green Line Boston - 4,5320714,K,,Mission Hill,42.332416378337726,-71.09887838112876,Private room,45,1,36,2018-05-03,5.57,5,51
21567155,Luxury South End 2 Bed 2 bath Condo (570M),1386951,Todd,,South End,42.33871244839743,-71.0775464142664,Entire home/apt,250,3,4,2018-04-08,0.64,4,1
